IdNumerico	Ingreso	Edad	Score	Antiguedad
2100387642	1083,27	30	955	51
2100384300	1674,47	30	966	102
2100359468	1288,71	31	823	52
2100358007	482,03	26	951	74
2100330246	2059,64	112	963	90
2100320007	1362,84	32	892	48
2100318571	3170,84	31	880	37
2100299128	1244,99	31	932	36
2100298708	2044,36	29	945	76
2100297171	1143,01	29	946	59
2100272901	1049,13	27	943	46
2100258991	970,91	30	951	42
2100253901	1870,87	25	925	51
2100225453	1004,71	32	952	92
2100224456	903,72	34	963	103
2100216692	1212,15	31	952	64
2100213061	4419,07	33	936	54
2100191564	2266,21	34	957	62
2100171160	1799,04	33	895	45
2100150677	1505,65	27	924	65
2100143060	2086,29	35	887	58
2100130372	1995,6	27	898	56
2100129697	1258,37	33	854	44
2100129143	1688,88	27	941	43
2100124292	956,43	33	890	31
2100120332	482,03	34	946	63
2100108337	1949,75	32	594	43
2100096813	1017,25	35	958	83
2100091905	972,26	36	947	98
2100086681	948,49	36	965	70
2100050315	2093,01	36	953	74
2100035605	1753,39	40	239	117
2100011614	878,95	39	945	96
2000067252	981,48	26	828	99
2000065751	1166,55	27	974	79
2000064184	1069,37	29	951	48
2000040549	1192,01	29	967	97
2000034799	1623,32	36	730	61
2000034476	653,7	42	954	120
2000012027	1678,92	58	931	85
2000010559	1125,37	64	10	94
2000009684	999,94	63	953	52
1900588664	1503,95	23	520	46
1900563170	3047,83	28	935	27
1900545151	1409,72	28	895	72
1900540244	1575,56	112	940	53
1900522846	955,9	28	966	66
1900496306	1589,9	22	596	10
1900490192	3305,52	29	939	62
1900455104	1765,02	31	916	51
1900423417	482,03	25	0	0
1900420413	1542,77	24	948	62
1900419084	1458,37	31	925	11
1900418763	1725,5	25	890	34
1900388057	3177,89	35	962	65
1900379015	2200,14	36	936	101
1900377787	2312,42	33	789	48
1900377787	2242,75	33	872	45
1900361955	3442,76	35	883	14
1900354349	1704,64	35	935	81
1900343763	1296,65	33	905	31
1900342898	1065,29	50	917	1
1900341502	554,46	36	951	94
1900338748	3725,04	37	553	101
1900329614	5052,14	34	853	125
1900307610	1489,43	33	955	73
1900284496	1550,09	40	953	75
1900265008	1947,18	39	907	101
1900238310	5362,86	44	927	117
1900203850	962,75	112	968	93
1900190792	1419,41	44	968	82
1900180454	1060,82	48	953	92
1900172758	482,03	50	952	103
1900160001	1051,26	50	899	64
1900149244	897,67	51	966	123
1900144286	1040,45	53	940	28
1900124296	471,07	55	958	95
1900122803	2153,2	54	959	96
1900100643	2363,03	58	845	139
1900091453	4927,2	56	883	124
1900082817	3224,84	60	958	97
1804992046	1204,46	26	882	20
1804537577	1331,8	24	934	34
1804518668	3130,06	34	938	74
1804490504	2175,08	112	905	46
1804430138	482,03	24	943	41
1804377834	5239,36	26	826	79
1804352431	2523,06	54	941	53
1804325627	2065,8	25	793	37
1804324315	3127,26	26	881	15
1804257739	928,93	26	952	55
1804254546	482,03	25	876	59
1804240925	1316,03	112	905	65
1804221412	1925,04	25	947	48
1804201786	1563,72	25	791	45
1804164356	1039,36	25	891	38
1804145397	3058,05	26	950	42
1804143947	1414,77	26	913	67
1804094389	1940,61	27	11	66
1804082582	2573,85	26	895	37
1804038436	1104,97	27	945	73
1804031324	1342,67	26	939	43
1804020285	1278,41	24	784	46
1804017117	2254,62	27	925	75
1804017034	780,77	27	943	67
1804013256	471,07	27	955	57
1804004420	1985,92	26	770	59
1804004180	1072,71	26	941	29
1803988037	870,45	27	945	60
1803936937	1688,29	28	879	85
1803926193	1019,55	28	955	64
1803919198	1076,21	30	957	54
1803919198	1223,33	30	974	48
1803914256	1393,41	26	919	44
1803911583	1386,73	27	518	54
1803910262	1495,3	112	169	48
1803893583	2057,42	28	889	58
1803891017	1317,9	28	939	39
1803888302	1998,97	27	826	61
1803887536	1254,84	28	867	52
1803887197	1161,98	28	937	46
1803877321	1046,62	28	944	50
1803871134	1053,08	27	918	67
1803869658	1807,98	28	458	88
1803863297	953,66	27	1	24
1803861937	471,07	28	956	80
1803860491	1424,7	25	787	29
1803840659	1899,23	26	938	50
1803839842	1573,05	27	861	60
1803838471	1479,26	29	946	39
1803816485	1044,03	29	964	75
1803802246	1095,62	30	954	63
1803800984	1584,95	29	331	41
1803794591	1698,6	29	918	106
1803793783	1886,12	27	911	73
1803781044	1890,04	26	895	34
1803760436	2797,65	29	954	91
1803746310	1479,92	29	274	99
1803739554	1761,37	29	924	75
1803739489	2017,03	29	581	74
1803719655	1336,65	28	952	37
1803691078	2633,87	29	825	64
1803690773	1394,61	28	874	68
1803671237	1812,19	28	886	30
1803663457	1028,63	29	919	74
1803655156	1338,54	30	325	82
1803648011	2514,42	28	941	83
1803638541	1434,04	23	904	58
1803616851	869,16	29	652	55
1803610912	1401,89	31	898	77
1803598463	1168,15	30	789	63
1803582111	2387,43	27	744	37
1803582111	1264,42	27	936	31
1803579919	1510,77	30	946	59
1803572500	1469,03	31	726	80
1803566346	1384,33	30	943	89
1803564283	1054,37	24	935	40
1803550373	2889,02	30	942	86
1803532868	1961,88	26	894	57
1803505922	3136,59	31	890	80
1803476751	5569,51	31	870	77
1803467917	3449,28	31	851	83
1803467032	978,73	31	946	116
1803462447	888,32	31	961	43
1803460284	2095,43	31	971	87
1803450202	1127,78	30	901	35
1803438033	1543,88	31	908	53
1803435344	4095,59	30	386	50
1803416690	1440,88	29	897	75
1803411378	1488,28	32	927	79
1803396975	2695,9	32	908	51
1803394673	2014,51	30	857	98
1803390556	1990,99	32	955	108
1803387727	3062,74	32	813	43
1803375698	911,39	32	929	135
1803375698	1005,82	32	933	132
1803352028	2346,11	31	773	100
1803341039	1039,16	32	911	64
1803335585	1355,51	29	946	54
1803329976	3353,98	28	938	35
1803312105	1262,47	33	899	71
1803294618	836,33	33	948	86
1803294519	3170,29	33	966	104
1803293156	1064,89	33	891	46
1803293131	2089,1	31	938	72
1803278827	3284,01	33	545	86
1803238029	1321,42	33	960	98
1803235165	3934,18	31	944	94
1803232584	4479,65	34	917	91
1803228384	1910,69	34	909	74
1803217312	993,98	32	962	46
1803216892	1983,17	34	923	67
1803216876	1527,24	29	964	70
1803215639	1067,28	35	959	85
1803215340	4698,86	30	932	98
1803206315	1526,42	29	940	54
1803202389	3216,58	33	936	131
1803200433	2261,58	34	957	108
1803199577	1337,74	34	944	47
1803198488	1929,7	36	958	88
1803197902	1435,07	29	820	91
1803191475	1167,53	34	754	58
1803188455	974,38	34	891	45
1803186624	1688,25	33	944	52
1803178456	933,98	23	874	1
1803162633	4110,42	27	931	116
1803158037	1913,95	35	913	94
1803150851	841,79	37	884	90
1803148210	1902,07	34	805	68
1803143435	1953,81	27	891	92
1803141710	2535,73	35	494	79
1803141322	3088,65	26	958	65
1803128477	482,03	31	971	110
1803122900	4295,01	34	801	76
1803121621	3735,84	27	931	101
1803121118	1283,07	36	957	114
1803119492	953,36	34	957	49
1803115136	2104,34	35	486	89
1803112265	1406,59	34	948	58
1803110855	3436,25	32	942	38
1803108792	1000,74	32	946	45
1803106143	1453,76	34	967	107
1803103397	2060,53	35	945	91
1803102639	2567,04	27	971	61
1803085404	2598,22	33	953	74
1803062015	2108,61	27	949	82
1803061207	1972,38	35	956	52
1803053907	1075,79	34	963	103
1803048832	1602,68	35	935	58
1803046992	2371,52	35	951	96
1803046588	1458	35	968	85
1803036548	2804,42	33	957	83
1803032653	2017,21	30	949	42
1803019924	1960,53	34	946	96
1803018306	2942,85	34	902	66
1803009701	2370,83	35	951	80
1803005337	2448,67	35	962	107
1803000775	1357,91	36	761	95
1802985968	1092,12	36	889	48
1802978302	1315,07	34	831	105
1802967537	2032,1	38	919	74
1802965432	4705,69	36	651	172
1802964369	1462,78	35	973	118
1802960748	1113,53	37	888	128
1802957215	1013,18	31	942	70
1802939890	872,54	37	970	101
1802937787	2087,01	36	957	79
1802936136	5121,89	37	961	103
1802933091	1680,43	36	948	95
1802928224	697,61	35	923	99
1802921203	482,03	25	945	58
1802919835	1089,12	37	243	86
1802915171	817,63	35	943	30
1802910313	5278,13	27	935	113
1802904886	1432,96	37	926	91
1802870871	2103,92	37	959	89
1802851905	1979,71	37	778	177
1802841229	2093,35	36	933	111
1802835866	625,84	38	972	125
1802832889	1975,94	37	904	79
1802822641	2171,04	33	958	129
1802819365	1989,8	36	919	122
1802819365	1646,8	36	952	116
1802815819	2068,95	38	880	12
1802815140	1998,59	37	906	87
1802807535	907,13	27	936	107
1802806495	1121,66	36	615	58
1802803153	1617,68	37	940	69
1802803153	2873,76	37	963	66
1802798403	1016,66	38	955	101
1802788743	2188,28	49	941	58
1802787752	1934,66	40	971	104
1802769081	4806,07	38	920	64
1802759819	4794,2	34	958	45
1802754547	682,61	38	935	31
1802747020	1605,69	38	905	76
1802746378	1616,4	39	933	38
1802740793	4168,08	37	896	135
1802739647	460,36	38	951	92
1802731941	1966,59	31	904	72
1802723047	3265,73	37	925	158
1802720449	2004,23	38	921	115
1802713279	921,42	37	974	185
1802710572	3513,63	39	598	90
1802706836	2862,05	39	681	73
1802704575	1421,53	40	949	56
1802701944	1176,9	39	974	207
1802700565	3620,52	39	952	86
1802685618	5248,92	40	940	114
1802650513	3348,73	40	952	96
1802649937	2283,63	112	962	98
1802642734	1172,41	40	925	56
1802632214	1297,66	40	885	93
1802631604	1445,76	39	938	58
1802627990	1683,64	40	938	113
1802623270	1997,25	29	896	38
1802616050	2470	39	948	77
1802613644	1064,95	40	967	124
1802605277	1487,6	40	960	124
1802604254	1973,94	40	947	79
1802600005	2132,33	38	952	65
1802592483	3433,21	40	713	132
1802585479	1311,54	42	927	68
1802583482	554,46	40	926	83
1802578318	1979,62	40	974	223
1802565463	2314,09	41	966	91
1802539112	1258,02	40	661	99
1802532737	1022,24	39	970	101
1802532455	1738,28	112	907	116
1802531713	2034,4	41	943	61
1802524478	919,62	40	921	32
1802501211	1825,06	38	937	95
1802499820	1690,58	36	969	182
1802494029	1359,29	39	874	101
1802464675	1019,23	42	956	138
1802448439	482,03	52	946	52
1802444560	2514,24	42	765	207
1802439644	1245,38	42	958	67
1802437424	926,54	42	956	92
1802435139	3661,74	42	916	161
1802434934	1380,48	42	765	93
1802430403	1340,37	42	919	107
1802420560	1279,36	69	741	85
1802418101	830,07	42	936	52
1802406049	1743,61	42	900	108
1802401321	1487,76	42	951	113
1802368009	1285,41	44	443	50
1802342939	1088,5	37	960	122
1802341576	1400,59	43	953	83
1802339976	1025,23	43	951	54
1802331304	1135,75	42	829	188
1802311124	1210,24	112	954	66
1802301570	1256,02	42	950	99
1802290468	1911,31	43	888	70
1802285633	482,03	45	951	90
1802283125	482,03	44	952	51
1802259810	2046	45	925	90
1802249902	1085,52	46	487	109
1802235331	3964,53	27	882	68
1802234904	3895,87	44	943	49
1802232759	482,03	45	967	14
1802226595	1377,83	45	879	4
1802213742	3254,81	45	973	92
1802210524	1775,89	45	930	98
1802206050	1760,97	45	900	144
1802204501	2536,21	43	583	104
1802204097	1794,86	46	914	120
1802198919	1947,89	45	949	62
1802190932	1195,29	35	962	92
1802188274	4753,93	46	924	136
1802179547	2366,55	45	919	77
1802177418	1062,69	45	960	65
1802173698	4887,02	41	974	183
1802154920	2494,39	44	967	90
1802150613	2005,08	43	969	106
1802148344	1084,2	46	898	43
1802144939	1843,25	44	974	98
1802127470	778,09	47	952	80
1802119097	4145,55	45	951	117
1802111649	482,03	48	960	72
1802102705	482,03	44	974	135
1802101921	3372,75	45	947	126
1802081115	985,78	46	974	93
1802053361	1074,81	47	957	77
1802022770	1435,77	47	945	86
1802011401	1565,85	51	860	57
1802001097	3461,42	47	954	89
1801997626	3143,99	47	670	105
1801997196	1025,24	47	943	61
1801994136	1324,2	31	958	119
1801986892	950,1	48	968	138
1801978956	2029,82	38	956	119
1801965466	3133,75	48	898	136
1801964451	1073,88	51	963	70
1801960582	1168,88	49	812	62
1801958636	1237,48	46	958	86
1801955244	3512,66	49	959	119
1801946680	1217,22	48	951	172
1801944982	864,2	48	942	52
1801930999	4269,18	48	967	128
1801929561	1048,59	48	966	58
1801928118	861,35	49	959	112
1801926898	3507,94	47	926	96
1801922806	2531,49	48	934	101
1801922525	1387,26	49	957	125
1801919018	2410,93	48	966	150
1801908110	482,03	51	0	0
1801905876	2442,01	46	932	103
1801895606	1990,22	48	717	97
1801879295	1918,34	35	947	93
1801877430	2506,05	49	930	113
1801876341	1006,25	45	933	124
1801864354	1318,2	41	914	97
1801861087	4214,18	49	862	103
1801854298	1088,85	48	948	116
1801848597	857,86	49	951	209
1801820265	1517,48	50	962	58
1801814607	1678,08	50	954	89
1801812494	1490,36	48	910	104
1801811942	5681,14	50	941	76
1801807841	1900,72	50	935	103
1801796374	1132,16	50	974	243
1801794585	1494,92	50	956	73
1801792829	5479,37	47	952	219
1801790997	4491,1	53	938	181
1801790567	2159,22	49	930	129
1801770643	4585,97	47	952	132
1801770643	4665,04	47	972	129
1801763382	2059,01	52	968	98
1801762798	745,73	49	955	132
1801752559	1692,28	51	942	47
1801723626	631,87	51	970	49
1801722891	1234,56	51	949	67
1801720960	585,68	51	956	89
1801715507	3826,58	47	939	135
1801710516	966,38	51	884	26
1801705821	1399,64	50	955	111
1801699974	1291,02	45	910	103
1801695402	706,58	45	925	102
1801689124	1496,63	38	960	112
1801664135	4774,92	47	937	219
1801651496	793,67	53	966	109
1801639673	3556,36	51	927	94
1801637107	4686,7	52	938	173
1801634443	1338,28	52	947	61
1801629914	826,76	53	922	64
1801629567	2093,07	52	577	105
1801620384	796,99	45	938	108
1801614601	3270,8	54	944	117
1801597822	2055,26	52	944	78
1801588789	1906,41	52	910	106
1801553049	1894,04	53	935	37
1801549401	4636,33	54	934	104
1801504166	1373,58	52	955	84
1801503879	1256,63	53	695	186
1801501642	1363,73	53	937	83
1801488170	866,48	53	818	107
1801488170	861,37	53	860	32
1801474444	1203,72	54	958	114
1801448844	594,97	53	959	90
1801448000	3014,76	54	939	93
1801433762	482,03	55	965	133
1801433663	4940,26	55	929	138
1801430628	604,58	52	963	79
1801430552	482,03	43	0	0
1801409424	935,95	54	957	176
1801390764	1152,52	112	923	89
1801383967	840,89	55	941	109
1801383967	482,03	55	949	106
1801367416	1353,61	55	959	89
1801350503	1250,35	57	934	106
1801348523	4699	41	931	171
1801346808	3427,18	52	957	317
1801343342	1394,36	56	948	83
1801343185	4862,29	55	727	208
1801342203	3740,81	58	965	219
1801338912	3755,19	56	952	294
1801329911	967,55	55	950	104
1801327865	2762,16	52	965	167
1801325075	1807,36	112	969	99
1801318468	2709,64	56	952	202
1801309806	2020,76	55	971	132
1801285204	3757,73	60	955	108
1801257799	3050,51	54	974	230
1801253301	948,76	37	331	181
1801251867	2986,25	59	957	122
1801234079	1451,76	54	958	111
1801170596	1306,62	62	860	92
1801170596	1307,64	62	747	89
1801157262	1323,67	54	972	83
1801092246	997,66	60	947	161
1801068840	1358,56	58	955	80
1801033000	1206,65	50	872	119
1800994814	1329,99	60	929	78
1800928416	1133,52	58	949	90
1800921023	5673,52	58	931	109
1800869420	2335,21	61	786	102
1800857730	943,44	62	915	66
1800846352	482,03	63	933	50
1800839647	3652,73	60	942	36
1800827220	1867,85	61	933	272
1800781351	4043,82	62	974	390
1800749853	594,97	112	823	228
1800749275	883,83	112	974	106
1800727461	3704,66	64	936	184
1800727461	3695,3	64	961	181
1800511501	1070,59	62	974	213
1800501098	1276,19	67	960	115
1800235804	1817,12	66	948	175
1800060715	4865,04	66	954	221
1800027144	2092,39	68	949	69
1752339703	2623,29	25	879	7
1750482489	1015,96	19	946	2
1726941568	5653,19	47	911	36
1726296294	944,12	20	880	6
1726248980	482,03	19	0	0
1726216334	957,69	22	874	1
1726127440	1018,78	22	874	1
1725768848	991,96	47	943	32
1725680837	1397,47	31	941	30
1725660524	1208,11	21	895	33
1725245839	1019,97	25	771	36
1725233637	1552,79	53	889	31
1725231219	854,29	52	839	1
1725062317	1085,22	23	917	1
1725013880	1502,07	22	532	30
1724956501	1687,3	21	930	17
1724942162	916,86	23	874	1
1724905466	883,51	20	854	1
1724691744	482,03	22	0	0
1724655772	1926,12	23	861	1
1724651904	963,09	21	814	1
1724412091	1145,92	21	254	8
1724336522	1133,38	24	879	3
1724333024	1359,84	27	29	18
1724316664	1988,57	29	945	54
1724312580	5289,67	36	909	54
1724310881	1033,77	31	918	52
1724207392	987,69	25	28	28
1724200744	1123,99	23	879	3
1724138795	1370,14	23	874	1
1724094824	1775,46	22	897	38
1723939128	3241,31	38	945	46
1723938351	1416,24	112	869	54
1723918353	1733,74	26	97	17
1723836076	2536,98	36	812	61
1723812861	1160,9	23	879	7
1723808638	893,4	23	874	1
1723803381	1403	26	29	31
1723779003	1335,46	22	764	22
1723697387	1022,88	24	874	1
1723695548	990,94	24	894	43
1723655286	1008,12	24	940	31
1723603740	2305,2	23	929	35
1723595854	1775,86	25	935	37
1723591069	795,74	23	936	43
1723589360	1015,01	23	933	29
1723577886	904,56	25	874	1
1723537757	1265,72	23	905	48
1723513204	903,79	26	880	12
1723499180	2502,52	33	941	43
1723498042	1982,37	45	974	52
1723492680	2059,51	29	821	46
1723411763	1053,98	25	942	33
1723398721	1168,98	26	874	1
1723394654	1131,5	24	48	65
1723385322	1123,35	24	932	32
1723335038	1146,94	25	737	28
1723324404	1075,64	22	874	1
1723275853	1648,76	24	936	34
1723247977	1501,59	24	933	43
1723232748	1311,83	22	932	39
1723204952	1379,39	23	888	43
1723204952	1166,46	23	888	37
1723197503	1374,11	29	952	54
1723183677	1128,21	24	951	32
1723154801	1046,77	25	891	43
1723142491	1391,66	23	938	50
1723040984	1162,67	27	935	35
1723037212	1981,18	23	901	46
1723012835	1284,09	23	886	39
1722981527	1303,41	22	887	15
1722964267	1333,11	26	934	29
1722837653	5601,29	44	949	73
1722790779	1276,51	24	936	43
1722749809	1299,89	24	824	30
1722745997	1282,37	24	926	43
1722737879	1348,85	22	854	43
1722737879	1307,42	22	931	34
1722737861	1920,8	112	947	34
1722735865	1782,1	24	857	28
1722721550	996,22	24	948	60
1722679717	1077,91	21	874	1
1722679568	1018,9	24	944	51
1722664917	1328,59	24	954	73
1722629241	482,03	24	947	52
1722590286	1435,46	24	935	32
1722566260	1210,12	26	892	32
1722565361	2117,37	20	780	16
1722562343	1110,68	24	874	1
1722553789	1901,03	24	892	38
1722553789	954,55	24	932	29
1722549100	1115,79	24	938	69
1722548201	1138,5	25	899	46
1722541537	1116,49	25	881	13
1722518402	1617,94	25	949	67
1722489588	1492,95	24	974	56
1722481460	938	25	943	42
1722476882	1110,7	26	936	35
1722476122	879,65	24	893	46
1722446281	922,99	25	931	55
1722425053	1091,65	24	874	1
1722422571	1269,47	25	879	9
1722369640	1892,94	26	873	53
1722366398	1042,47	24	417	10
1722360474	1053,21	24	931	34
1722359245	982,8	24	874	1
1722319132	482,03	25	937	34
1722294889	1225,31	25	900	60
1722294889	1093,32	25	938	57
1722291307	1222,08	25	951	74
1722289871	914,48	24	907	49
1722287982	1839,33	24	492	43
1722283973	666,37	20	634	2
1722273537	1001,57	23	879	3
1722272877	1375,13	22	952	43
1722247234	1776,77	24	936	30
1722238522	1039,1	24	944	31
1722225032	1019,5	112	950	48
1722201579	1392,73	26	891	38
1722185079	1050,89	21	874	1
1722182910	1052,04	22	900	25
1722155528	961,17	25	886	66
1722153556	1075,19	25	879	5
1722149265	1518,21	23	744	43
1722140520	1514,32	112	950	64
1722107651	1315,84	26	939	42
1722096458	1090,76	26	546	48
1722096292	968,24	26	35	50
1722092085	1044,84	26	917	1
1722091129	1451,56	26	917	1
1722082185	1585,11	29	929	82
1722026182	1213,28	26	938	54
1722025986	1025,61	25	898	65
1722023312	1099,3	28	946	67
1722010152	963,28	23	938	37
1722002746	995,65	112	957	60
1722002217	938,22	24	852	39
1721999066	2165,04	25	507	43
1721993804	4143,58	25	909	36
1721993192	1316,22	25	933	34
1721985560	482,03	25	858	44
1721969986	1106,76	46	922	85
1721962411	1375,96	26	950	56
1721958708	1013,8	28	879	6
1721945762	1266,84	25	899	37
1721937165	779,6	25	875	48
1721936696	1190,5	25	950	56
1721923421	1397,27	24	974	51
1721920310	1306,66	27	847	60
1721918900	3312,01	28	890	81
1721915518	976,66	35	951	90
1721906699	913,22	25	898	47
1721904751	1393,13	22	895	36
1721897096	637,13	25	933	30
1721882452	1088,51	24	895	40
1721855938	1048,42	26	835	43
1721855813	793,17	26	946	54
1721852356	1354,34	25	941	57
1721851200	1347,96	25	932	81
1721828489	1446,48	22	933	31
1721825055	2015,88	25	941	49
1721819603	1043,19	25	903	52
1721803441	931,59	25	935	29
1721800165	482,03	26	13	11
1721796355	2022,7	112	948	48
1721790606	1233,23	26	945	51
1721710661	1146,67	26	501	48
1721695664	957,16	38	946	41
1721694667	1396,26	36	859	49
1721694568	2107,44	39	956	73
1721694030	937,56	33	957	89
1721686572	1034,52	23	874	1
1721683520	896,63	24	936	31
1721673794	982,39	23	353	32
1721652459	1871,93	24	881	61
1721635868	1337,95	26	909	66
1721626503	482,03	25	833	29
1721621173	1460,66	26	939	48
1721618302	2056,61	26	892	31
1721612438	1368,86	26	951	35
1721601357	1446,34	25	941	48
1721583860	1042,14	27	934	87
1721578282	6312,03	42	927	75
1721576054	1382,46	31	810	89
1721567475	2898,02	112	911	51
1721565784	1361,78	28	907	83
1721565362	1153,77	27	898	34
1721564555	1083,62	25	279	28
1721530846	1789,42	25	952	59
1721502399	993,66	25	3	45
1721489779	1052,03	23	939	45
1721484432	947,1	26	940	38
1721462487	1032,39	26	874	1
1721459798	1263,02	26	891	34
1721441663	482,03	25	937	56
1721427894	894,33	37	968	86
1721423893	1273,9	66	938	52
1721423786	1254,43	66	920	65
1721413969	1380,65	112	947	48
1721408886	482,03	26	951	55
1721402426	1119,79	26	935	39
1721378741	962,93	30	953	59
1721374070	1360,15	25	904	49
1721289880	2155,49	24	901	59
1721289880	1215,75	24	938	53
1721284436	1098,88	24	896	44
1721277257	1379,66	33	965	88
1721275731	3825,18	38	960	102
1721272241	775,92	29	838	43
1721245452	1203,94	24	665	51
1721241501	1277,92	24	806	69
1721233896	837,98	25	898	35
1721229035	1309,9	24	912	64
1721220455	866,25	24	929	29
1721216701	1100,54	112	931	55
1721203451	1467,34	26	940	40
1721202792	1389,09	25	835	32
1721202792	1651,9	25	843	35
1721193819	975,7	27	895	43
1721192746	1391,98	26	942	39
1721189437	471,07	26	961	53
1721186250	1339,64	25	935	34
1721184214	1319,3	27	885	34
1721180451	1012,74	26	945	53
1721178216	1087,47	25	881	12
1721163515	1090,7	26	854	43
1721162442	1025,9	27	937	84
1721152955	1620,33	26	548	64
1721147583	1360,41	112	950	72
1721145074	990,49	27	432	62
1721129227	1072,02	26	974	80
1721110425	1192,52	28	890	38
1721104030	1448,73	112	939	36
1721099867	914,16	25	936	49
1721098331	932,39	26	968	51
1721082681	1018,98	25	494	87
1721081261	1915,28	26	894	50
1721077905	2048,35	25	946	55
1721074845	992,16	26	939	42
1721072146	1817,3	26	898	42
1721060372	1118,71	26	878	57
1721060083	1823,16	25	951	64
1721058111	1297,92	25	906	52
1721058111	1129,75	25	943	46
1721048229	1456,52	112	897	28
1721028890	1032,09	25	974	54
1721017224	1696,02	36	908	63
1721013488	752,79	35	867	84
1721003158	1022,59	46	854	27
1721001186	1618,92	22	932	38
1720995412	877,67	112	948	50
1720994159	1237,32	25	893	59
1720967742	1053,26	27	874	1
1720967056	1063,25	24	930	37
1720947678	976,46	25	858	29
1720945201	955,98	26	658	32
1720938594	1705,66	112	893	30
1720936689	482,03	112	933	38
1720933785	471,07	23	965	36
1720931649	1070,58	24	930	28
1720924842	1365,77	27	904	51
1720911088	969,06	25	951	43
1720908779	1239,02	26	939	39
1720904596	992,81	26	929	34
1720903168	1153,88	25	905	32
1720897956	1308,18	23	935	39
1720895976	1231,24	29	793	29
1720880655	1889,52	27	944	56
1720877248	1342,05	26	690	78
1720871894	1354,71	27	900	58
1720857463	1099,28	27	941	37
1720853363	1333,82	23	938	47
1720838273	1464,22	23	488	12
1720828563	1216,86	112	941	46
1720827136	1069,48	27	850	68
1720825783	1540,34	27	632	40
1720820420	1319,81	27	864	54
1720816139	1089,87	25	933	42
1720797107	1246,55	26	907	55
1720779188	1367,91	112	950	32
1720766474	1939,39	27	905	45
1720752946	1046,92	20	874	1
1720748100	1028,77	27	957	71
1720732377	1123,51	28	946	53
1720709904	1268,3	25	924	58
1720709847	1198,17	25	955	59
1720696481	1986,79	27	933	80
1720696317	987,08	26	961	38
1720692670	1163,45	27	935	79
1720688801	1289,53	37	774	78
1720687852	1360,81	45	928	101
1720687357	2139,83	47	958	90
1720686169	1784,74	46	966	89
1720683661	1031,87	32	953	78
1720681129	983,3	42	972	46
1720677937	1392,98	23	902	29
1720674918	1189,35	27	937	40
1720664554	991,31	28	887	56
1720663614	1175,64	26	933	29
1720654845	1311,3	26	883	62
1720652906	930,13	112	944	47
1720652781	1314,79	26	942	64
1720647005	1396,44	25	901	46
1720646106	961,23	24	924	41
1720640018	936,87	27	909	72
1720637816	953,8	27	974	50
1720632387	1383,31	28	910	58
1720620473	816,64	22	945	38
1720620267	1352,66	26	862	43
1720616331	1111,26	26	959	91
1720605631	1401,47	25	213	45
1720604824	1294,62	27	897	38
